patent_number,patent_date,patent_num_combined_citations,patent_kind,patent_abstract,patent_id
10002355,2018-06-19,24,B1,"Disclosed are various embodiments for facilitating a payment to an owner of a media file for enabling the consumption of the media file. In one embodiment, a jukebox service transmits a plurality of media files to a plurality of users for consumption, wherein the media files are served up from a plurality of cloud drives associated with the users. A license service determines whether the consumption comprises at least one of a download, a purchase and an execution of the media files. Then, the license service facilitates a payment to the owner of the media files if a payment is owed to the owner. In one embodiment, the payment owed to the owner may be based on the type of consumption of the media files.",10002355
10003597,2018-06-19,210,B2,"In an environment such as a cloud computing environment where various guests can be provisioned on a host machine or other hardware device, it can be desirable to prevent those users from rebooting or otherwise restarting the machine or other resources using unauthorized information or images that can be obtained from across the network. A cloud manager can cause one or more network switches or other routing or communication processing components to deny communication access between user-accessible ports on a machine or device and the provisioning systems, or other specific network resources, such that the user cannot cause the host machine to pull information from those resources upon a restart or reboot of the machine. Further, various actions can be taken upon a reboot or attempted reboot, such as to isolate the host machine or even power off the specific machine.",10003597
10012992,2018-07-03,11,B2,"Disclosed are various embodiments for an integrated obstacle detection and payload centering sensor system. A robotic drive unit (RDU) captures, with a downward facing camera mounted to itself, an image of fiducial located on the ground. The RDU then positions itself over the fiducial and subsequently rotates. As it rotates, the RDU captures a point cloud of the surround vicinity a forward-facing three-dimensional camera mounted to itself. The RDU then identifies in the point cloud at least two legs of a storage unit positioned over the robotic drive unit. Subsequently, the RDU determines a location for each of the at least two legs relative to the fiducial and triangulates a center of the storage unit based at least in part on the location of each of the at least two legs. The RDU then centers itself underneath the storage unit.",10012992
10019463,2018-07-10,37,B2,"An image processing system for recognizing the scene type of an input image generates an image distance metric from a set of images. The image processing system further extracts image features from the input image and each image in the set of images. Based on the distance metric and the extracted image features, the image processing system computes image feature distances for selecting a subset of images. The image processing system derives a scene type from the scene type of the subset of images. In one embodiment, the image processing system is a cloud computing system.",10019463
10033691,2018-07-24,1295,B1,"Systems and methods are described to enable adaptive handling of domain resolution requests originating from a virtual private cloud (VPC) networking environment. An administrator of the VPC can provide a set of rules specific to the VPC that designates how requests for a domain name should be handled. The rules may specify, for example, that a request for a given domain name should be routed to a particular domain name server, which may include a private domain name server, should be dropped, or should be routed according to a default behavior (e.g., a public domain name system). Resolution requests originating in the VPC can be associated with a VPC identifier. When an adaptive resolution system receives the request, it can retrieve rules associated with the VPC identifier, and apply the rules to determine further routing for the request.",10033691
10055593,2018-08-21,5,B2,"Approaches are described for updating code and/or instructions in one or more computing devices. In particular, various embodiments provide approaches for updating the microcode of one or more processors of a computing device without requiring a restart of the computing device and without disrupting the various components (e.g., applications, virtual machines, etc.) executing on the computing device. The microcode updates can be performed on host computing devices deployed in a resource center of a service provider (e.g., cloud computing service provider), where each host computing device may be executing a hypervisor hosting multiple guest virtual machines (or other guest applications) for the customers of the service provider.",10055593
10057374,2018-08-21,61,B2,"A resource provisioning service allows users to provision multiple, different network resources in an atomic manner and with a single call to a resource provisioning service. In some instances, the multiple, different network resources comprise individual types of resources that form a portion of one or more cloud-computing platforms. For instance, one or more entities may host and operate a cloud-computing platform that includes different types of network resources, such a storage service, a load balancing service, a compute service, a security service, or any other similar or different type of network-accessible service.",10057374
10079896,2018-09-18,6,B2,"It may be determined that a cloud desktop should be migrated from a current region. A destination region to which the cloud desktop will be migrated can be identified. A data volume of the cloud desktop may be copied from the current region to the destination region. The data volume at the current region and the data volume at the destination region may be maintained in sync during the copying. Upon completion of the copying, a current user session associated with the cloud desktop at the current region may be frozen, a current memory and processor state of the current user session may be copied to the destination region, and a second cloud desktop instance at the destination region may be started using the copied data volume and current memory and processor state. The current user session may be connected to the second cloud desktop instance.",10079896
10104007,2018-10-16,6,B1,"Embodiments presented herein enable an enterprise to rapidly define and generate views of cloud based computing resources. In one embodiment, the cloud based service provider hosts a view service as an additional service layer between customer applications and the web service APIs hosted by that service provider. This intermediary service layer allows customers to compose and access API views generated using the web service APIs published by the cloud based computing service. The service provider may expose the view service itself using an API which allows client applications to invoke an API call to generate a given API view from the corresponding API view definition.",10104007
10108961,2018-10-23,129,B2,"A user can be authenticated to any of a number of computing devices using an authentication process that recognizes the user and verifies that an actual human being is attempting to be authenticated, in order to minimize the ability of another person to spoof the authentication process. A model of a user can be generated and stored in the cloud, enabling that model to be synchronized across various devices. A user accessing one of these devices can have image information captured, which can be used with a facial recognition process, to recognize the user, and with a human verification process, to verify that the facial information corresponds to a human user. Various approaches such as visual analysis, three-dimensional imaging, and thermal imaging can be used to verify that the human user being recognized is interactive with the device.",10108961
10171292,2019-01-01,8,B1,"A method for deploying a cloud infrastructure includes obtaining a specification of one or more network resources in a new region of a service provider. A virtual private cloud (VPC) within an existing region of the service provider may be configured based on the specification, with a plurality of core configuration services. A connection is established between the VPC and the new region. The one or more network resources in the new region are established as a network infrastructure, and are configured over the established connection to run compute services, using at least one of the core configuration services. The plurality of core configuration services are transferred to the one or more network resources in the new region, and the new region is disconnected from the VPC.",10171292
10175933,2019-01-08,8,B1,"This disclosure is directed to methods, apparatuses, and systems for providing content streams with highly targeted, interactive content in a personalized manner. A content producer can generate a user-generic content stream associated with one or more user-specific content flags, which can describe how the user-specific content can be presented along with the content stream. A content-provider can purchase or otherwise acquire the rights to insert their user-specific content into another content provider's user-generic content. Both the user-specific and user-generic content can be provided to the user by means of a voice-controlled device associated with a cloud-based profile of the user. A user can interact with the personalized content to receive supplemental information.",10175933
10176196,2019-01-08,37,B2,"An image processing system for recognizing the scene type of an input image generates an image distance metric from a set of images. The image processing system further extracts image features from the input image and each image in the set of images. Based on the distance metric and the extracted image features, the image processing system computes image feature distances for selecting a subset of images. The image processing system derives a scene type from the scene type of the subset of images. In one embodiment, the image processing system is a cloud computing system.",10176196
10181985,2019-01-15,20,B1,"Describe herein are techniques for providing cloud-based discovery. For example, a device may be configured to provide device registration and de-registration notifications to a cloud-based discovery service. The cloud-based discovery service may be configured to respond to discovery request by identifying registered devices that meet the criteria of the discovery request. The cloud-based discovery service may also be configured to provide endpoint information associated with registered devices in response to the discovery request, such that a device is able to utilize the endpoint information to connect with one or more of the registered devices.",10181985
