patent_number,patent_date,patent_num_combined_citations,patent_kind,patent_title,patent_abstract,patent_id
10012766,2018-07-03,17,B2,Monitoring external vibration sources for data collection,"A system and method is provided for the control of a network of devices wherein each device of the networked devices provides for the operation of a sensor such as an accelerometer, processor and communication element within each device, and network and/or cloud based processing and storage, to process collected data to permit detection and predictive analysis of traffic patterns, weather patterns and other forces of nature. The system and method can analyze duration and magnitude of vibration signals, and considering maps and known locations of devices, tracks and highways and historical data regarding each, use machine learning techniques to accurately classify the motion and provide real-time and predictive analysis.",10012766
10025308,2018-07-17,34,B1,System and method to obtain and use attribute data,"Example systems and methods are disclosed for associating detected attributes with an actor. An example method may include receiving point cloud data for a first actor at a first location within the environment. The method may include associating sensor data from an additional sensor with the first actor based on the sensor data being representative of the first location. The method may include identifying one or more attributes of the first actor based on the sensor data. The method may include subsequently receiving a second point cloud representative of a second actor at a second location within the environment. The method may include determining, based on additional sensor data from the additional sensor, that the second actor has the one or more attributes. The method may include providing a signal indicating that the first actor is the second actor based on the second actor having the one or more attributes.",10025308
10026189,2018-07-17,32,B2,System and method for using image data to determine a direction of an actor,Example systems and methods are disclosed for determining the direction of an actor based on image data and sensors in an environment. The method may include receiving point cloud data for an actor at a location within the environment. The method may also include receiving image data of the location. The received image data corresponds to the point cloud data received from the same location. The method may also include identifying a part of the received image data that is representative of the face of the actor. The method may further include determining a direction of the face of the actor based on the identified part of the received image data. The method may further include determining a direction of the actor based on the direction of the face of the actor. The method may also include providing information indicating the determined direction of the actor.,10026189
10027764,2018-07-17,19,B2,Associating network-hosted files with network-hosted applications,"A method includes establishing a registry in which a filename extension of a file or document is associated with at least one network-hosted application that is capable of processing files having that filename extension. The method further includes configuring a cloud computing service to respond to a user-selection, on a personal computing device, of a network-hosted file having a particular filename extension for processing by using the registry to select a network-hosted application that is capable of processing files having that particular filename extension.",10027764
10037332,2018-07-31,14,B1,Electronic mail attachments garden,"A cloud storage system receives information associating a user's cloud storage account with a network service account associated with a service provider. The cloud storage system identifies files associated with the network service account, retrieves metadata associated with the files, and provides a list of the files and their associated metadata to the user. The metadata stored by the cloud storage system may indicate the context of the identified files within the network service account. In response to a user command, the cloud storage system may store one of the identified files in the cloud storage account, and may continue to provide the content of the stored file within the network service account even if the stored file is deleted from the network service account.",10037332
10048770,2018-08-14,20,B1,Gesture onset detection on multiple devices,"Implementations of the disclosed subject matter provide techniques for improved identification of a gesture based on data obtained from multiple devices. A method may include receiving an indication of an onset of a gesture, from a first device, at a gesture coordinating device. Next, first subsequent data describing the gesture may be received from a second device, at the gesture coordinating device. Based on the indication and the first subsequent data, the gesture may be identified. In response to identification of the gesture, an action may be performed based on the gesture identified. In some cases, the gesture coordinating device may be a cloud-based device.",10048770
10051587,2018-08-14,29,B2,System for network discovery and synchronization,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for maintaining, by a cloud controller, data representing a topology of a network of nodes; receiving, at the cloud controller from the first group of nodes, one or more requests to connect to the network; selecting, by the cloud controller, a first node in the first group of nodes that sent the request; and generating, by the cloud controller, instructions configured to cause the first node to communicate a timestamp of the first node to each neighboring node of the first node and to cause each neighboring node to communicate the timestamp of the first node to each other neighboring nodes of the neighboring node; and sending the instructions to the first node, thereby synchronizing the nodes in the network to the timestamp of the first node.",10051587
10061776,2018-08-28,9,B2,System and method for identification and consolidation of related concurrent document sessions,"A cloud computing system identifies opportunities for users to collaborate on a file. Collaboration opportunities are identified based on similarity of separate files that different users are associated with, and on relationships or similarities between the different users. If users associated with the separate files agree to collaborate, the users may be placed in a single editing session regarding a file having content from at least one of the separate files.",10061776
10074383,2018-09-11,40,B2,Sound event detection,"A system and method for the use of sensors and processors of existing, distributed systems, operating individually or in cooperation with other systems, networks or cloud-based services to enhance the detection and classification of sound events in an environment (e.g., a home), while having low computational complexity. The system and method provides functions where the most relevant features that help in discriminating sounds are extracted from an audio signal and then classified depending on whether the extracted features correspond to a sound event that should result in a communication to a user. Threshold values and other variables can be determined by training on audio signals of known sounds in defined environments, and implemented to distinguish human and pet sounds from other sounds, and compensate for variations in the magnitude of the audio signal, different sizes and reverberation characteristics of the environment, and variations in microphone responses.",10074383
10082999,2018-09-25,10,B2,Audio file processing to reduce latencies in play start times for cloud served audio files,"Methods, systems, and computer programs are presented for managing audio files of a user to reduce latencies in play start times on local devices. The audio files are stored on cloud storage managed by a server. One method includes processing a plurality of audio files associated with a user, where the processing is configured to create audio snippet files from each of the plurality of audio files. The audio snippet files representing a beginning part of each of the plurality of audio files. The method also includes transmitting the audio snippet files to a client device and detecting a request from the client to begin playing a first audio file from the plurality of audio files of the user. The first audio file being stored on the cloud storage managed by the server.",10082999
10097539,2018-10-09,34,B2,Authentication on a computing device,"Systems and/or methods provide a user of a first computing device with the ability to authenticate themselves on a remotely provided process or service using a second computing device on which the user is already authenticated. For example, the techniques of this disclosure provide a user with the ability to securely log into a remotely provided service or application (such as e-mail, cloud computing service, etc.) on a first computing device (e.g., a desktop computer, laptop, tablet, etc.) using a second computing device (e.g., mobile phone) on which the user is already logged into the service or application, without requiring manual entry of authentication information on the first computing device.",10097539
10102291,2018-10-16,13,B1,Computerized systems and methods for building knowledge bases using context clouds,"Computer-implemented systems and methods are disclosed for building knowledge bases, such as knowledge graphs, using context clouds. According to certain embodiments, a target object is identified in a portion of unstructured or semi-structured data in a target document, which does not conform to a predefined structure or pattern. A knowledge server may build a context cloud for the target document. The knowledge server may analyze one or more other documents stored in a networked database, to identify candidate documents that may include a meaning or relationship associated with the target object. The knowledge server may analyze one or more context clouds for the candidate documents to determine a meaning or relationship of the target object based on objects in the candidate document(s). The knowledge server may associate the determined meanings and/or relationships with the target object in the target document, thereby creating a new portion of a knowledge graph.",10102291
10114836,2018-10-30,11,B1,Systems and methods for prioritizing file downloads,"Systems and methods are disclosed herein for downloading data from a cloud system. A plurality of files on the cloud system is identified for downloading to a client system, where the plurality of files is associated with metadata. A respective score for each file in the plurality of files is evaluated by applying a ranking scheme to the metadata, where the ranking scheme is based on at least two features of the metadata. A download process is initiated for at least some files in the plurality of files based on each file's respective score.",10114836
10120057,2018-11-06,23,B1,System and method for determining the direction of an actor,"Example systems and methods are disclosed for determining the direction of an actor based on sensors within an environment. The method may include receiving point cloud data representative of the actor within the environment. The method may also include generating data segments of the point cloud data corresponding to respective height levels of the actor. The method may further include determining an area value for each data segment. Also, the method may include determining a transition between a first data segment and an adjacent second data segment based on a difference between the corresponding area values. Further, the method may include determining that the first data segment is representative of a head of the actor while the second data segment is representative of a body of the actor. The method may also include providing information indicating a direction of the actor based on the second data segment.",10120057
10133816,2018-11-20,17,B1,Using album art to improve audio matching quality,"A method for managing a cloud music account of a user is provided, including the following method operations: receiving metadata obtained from an audio file stored on a client device; receiving an audio sample obtained from audio content of the audio file; receiving image data processed from an image associated with the audio file; analyzing the metadata, audio sample, and image data to determine an identity of the audio content of the audio file; and associating to the cloud music account of the user a permission to access cloud-based audio content corresponding to the identity of the audio content of the audio file.",10133816
10176192,2019-01-08,120,B2,System and method for detecting and integrating with native applications enabled for web-based storage,"A cloud storage system provides remote access to a file associated with the cloud storage system. In response to a request to access the file, the cloud storage system identifies applications available to the request generator and capable of accessing the file, which may include both online web-based applications and applications installed on a device with which the user is accessing the file. The cloud storage system determines an application type of an identified application, and provides file access to the identified application based on the application type.",10176192
10200471,2019-02-05,12,B2,Workload migration across a hybrid network,"A method and system for workload migration across a hybrid network is provided. The method and system are directed to migrating a workload to a cloud by transferring the workload computing processes to the cloud, streaming workload data as necessary to execute the workload processes in the cloud, transferring the remaining workload data in a background process to cloud storage, and then completing migration by switching the primary data source of the workload computing processes to the cloud storage. In another aspect, a method and system are directed to migrating on-premises storage associated with a virtual machine to the cloud to be stored and executed in association with containerized applications. Additionally, techniques for full detach and partial detach of containerized applications are provided.",10200471
10200746,2019-02-05,10,B1,Video integration with home assistant,"Various arrangements are detailed herein related to managing scheduled events using a home assistant and an integrated video service. Using a network-enabled video camera, a video stream of a location may be captured. The video stream captured may be used to determine an identity of a user present at the location. In response to identifying the identity of the user, access to a cloud-based calendar account for the user may be determined to be authorized. The cloud-based calendar account linked with the user may be accessed. A next calendar event mapped to the cloud-based calendar account that is scheduled to occur within a threshold time duration may be determined. A description linked with the next calendar event may be accessed. A network-enabled smart home assistant device may be used to synthesize speech to announce details related to the next event.",10200746
10210286,2019-02-19,10,B1,Systems and methods for detecting curbs in three-dimensional point clouds descriptive of streets,"Computer-implemented methods and systems of detecting curbs include receiving a cloud of three-dimensional (3D) data points acquired along street locations. A plurality of vertical scanlines (e.g., arrays of 3D data points obtained at given horizontal locations) are identified within the cloud of 3D data points. One or more curb points indicating the potential presence of a curb in the plurality of vertical scanlines are identified. A synthesized set of non-overlapping curb curves are generated in order to close gaps between certain curb points while removing certain other outlier curb points. Successive curb curves in the synthesized set of non-overlapping curb curves are then identified as belonging to one or more curb segments.",10210286
