patent_number,patent_date,patent_num_combined_citations,patent_kind,patent_title,patent_abstract,patent_id
10049337,2018-08-14,196,B2,Quantitative metrics for assessing status of a platform architecture for cloud computing,"An architecture for realizing a customer system on a cloud computing platform is defined in terms of a plurality of architecture types, each type (AT) defined by plural architecture type units (ATUs), each ATU comprising a set of ATU Details. The ATU Details are ordered into a series of discrete stages. Maturity of the architecture is determined as a single architecture pulse (AP) numeric value for each architecture type. The pulse reflects the extent to which the ATUs of the architecture type have reached a requisite level of quality, and an extent to which the ATUs are created in a sequence consistent with the series of discrete stages. The AP pulse values may be combined to form a single success platform pulse (SPP) for tracking overall condition of the platform architecture with a single numerical value.",10049337
10051055,2018-08-14,171,B2,System and method for synchronizing data objects in a cloud based social networking environment,"Methods and systems are provided for synchronizing and sharing a file. A set of access privileges is configured within a cloud collaboration site to define a sharing configuration to allow sharing of the file between a group of computing devices comprising a first computing device and one or more second computing devices. A sync client automatically creates a sync folder on the first computing device that is used for storing files added to the sync folder. When a file is updated at the first computing device and added to the sync folder, the updated file is automatically synchronized at the cloud collaboration site so that the updates are accessible by the one or more second computing devices. The updated file is automatically pushed from the cloud collaboration site to the one or more second computing devices to share the updated file in accordance with the sharing configuration.",10051055
10114737,2018-10-30,152,B2,Methods and systems for computing code coverage using grouped/filtered source classes during testing of an application,"Computer implemented methods and systems are provided for computing code coverage in a system that includes a user system and a cloud-based computing platform. The user system includes a processing system, memory and an input system that receives input parameters specified by a user of the user system. The memory can store a source class filter module executable by the processing system. Upon being executed by the processing system, the source class filter module can, based on one or more of the input parameters, group and filter source class identifiers to generate a unique source class identifier array of filtered source class identifiers that correspond to a particular subset of source classes that targeted code coverage metrics are to be computed for during code coverage computations when testing an application. A code coverage computation unit can then compute the targeted code coverage metrics for the particular subset of source classes corresponding to the filtered source class identifiers of the unique source class identifier array.",10114737
10116502,2018-10-30,153,B2,System and method for providing configuration settings to services in a cloud infrastructure,"Computer systems and methods are provided for storing configuration settings for services that are provided in a cloud infrastructure in a central database, and providing values for those configuration settings to services in the cloud infrastructure when those services request a configuration setting.",10116502
10152489,2018-12-11,195,B2,Synchronize collaboration entity files,"A database system is arranged to support collaboration among users of a file in a feed system of a multi-user social network database driven system, wherein at least some of the users are permitted to upload a file to the feed from a remote computing device, and other users may have permission to collaborate on modifying the file. A sync client application executable on a remote user machine enables an authorize user to select “sync all files in the feed,” which triggers (a) download of the latest version of all files in the feed from the cloud to all users associated with the feed, and (b) subsequent automatic synchronization of the files by selectively uploading to the cloud database a modified local copy of the file from a user machine, and then downloading a latest version of the modified file to all of the users associated with the feed.",10152489
10250716,2019-04-02,171,B2,Priority-driven boxcarring of action requests from component-driven cloud applications,"Improved perceived load time for browser and mobile application pages is achieved by adjusting boxcarring of action requests from coupled data consuming applications on the user device, using the priority level of regions and components in component-driven cloud applications. Priority labels differentiate among display regions rendered by the data consuming application and the priority labels further differentiate among components within respective display regions. The middleware application batches the action requests into batches based at least in part on the priority labels, into boxcars segregated by priority label according to a predetermined segregation schedule, and dispatches the boxcars of batched action requests to the server. Performance is also dynamically speeded up, by adjusting inter-boxcar intervals used to dispatch batches of action requests from the user device to a production server, based on the dynamically measured network communication latency between the user device and the server.",10250716
10261890,2019-04-16,152,B2,Methods and systems for executing tests using grouped/filtered test classes during testing of an application,"Computer implemented methods and systems are provided for executing tests in a system that includes a user system and a cloud-based computing platform. The user system includes a processing system, memory and an input system that receives input parameters specified by a user of the user system. The memory can store a test class filter module executable by the processing system. Upon being executed by the processing system, the test class filter module can, based on one or more of the input parameters, group and filter test class identifiers to generate a unique test class identifier array of filtered test class identifiers that correspond to a particular subset of tests that are to be executed during testing of an application. A test execution engine can then execute the particular subset of tests corresponding to the filtered test class identifiers specified in the unique test class identifier array.",10261890
10261893,2019-04-16,7,B2,Implicit coordination of deployment and regression testing across data centers and system clusters,"The disclosed methods and systems for coordinating deployment and regression testing across data centers and system clusters in multiple service clouds include accessing test suites via a versioning platform that maintains a metadata notation of an applicable-version to which a version of a test suite applies. They include receiving a request-to-test to run a selected test suite against a selected system; making a machine-to-machine query about the selected system and receiving back a response that specifies a version-to-be-tested; automatically selecting from the versioning platform a test suite version with the applicable-version that supports the version-to-be-tested consistent with the metadata notation of the applicable-version of the selected test suite; and reporting results of running the selected test suite. The request-to-test need not include the version of the selected test to run, and can specify use of authentication credentials and multiple selected test suites to run against one or more systems.",10261893
10324922,2019-06-18,192,B2,Providing a timeline of events regarding a database record,"Disclosed are methods, apparatus, systems, and computer program products for providing a timeline of events regarding a database record in an on-demand database service. In some non-limiting examples, the database record can be stored in a database in a cloud computing environment, and the timeline can display events or interactions related to the database record. Metadata associated with an event or interaction can be used to identify data associated with the event or interaction, and metadata can be used to determine what events or interactions are displayed in the timeline according to filtering parameters. Metadata can also be used to determine a customer satisfaction rating or health-based numeric for the database record.",10324922
10372421,2019-08-06,207,B2,Platform provider architecture creation utilizing platform architecture type unit definitions,"In an example, a method for developing a customer system utilizing a preexisting cloud-computing platform is provided. The method may include defining a platform architecture for the customer system to be developed in terms of a plurality of architecture types—and their predefined architecture type unit. The method may include displaying an indicator of first and second indicators, the first and second indicators corresponding to confirmation of the platform architecture and non-confirmation of the platform architecture, respectively, based on information about a subset of deliverables corresponding to the architecture types.",10372421
