patent_number,patent_date,patent_num_combined_citations,patent_kind,patent_title,patent_abstract,patent_id
10007515,2018-06-26,26,B2,System and method for automatic porting of software applications into a cloud computing environment,"In accordance with an embodiment, described herein is a system and method for automatic porting of software applications into a cloud computing environment (cloud environment, cloud). A cloud service enables software developers to deploy user applications to run within the cloud environment. When a user application is deployed to the environment, a deployment logic determines those aspects of the application, such as certain service usages, that may be incompatible with features provided by the environment, or that should use a particular cloud service, and automatically ports the application, including the use of one or more handlers or extensions, for use within the environment. For example, a user application may have been originally developed to use JAVAMAIL™, which presents a security risk in a cloud environment. To minimize such risk, the application can instead be ported to use, for example, a REST-based e-mail service supported by the cloud environment.",10007515
10038698,2018-07-31,54,B2,External platform extensions in a multi-tenant environment,"Methods and systems are described for allowing third party developers to add extensions to a cloud service provider's software as a service (SaaS) services by editing an ‘empty’ config file according to a schema provided by the cloud service provider to form a delta file and then merging the delta file with an internal, full version of the config file. The full config file is then used to initialize and instantiate objects upon a restart of the cloud provider's services.",10038698
10049370,2018-08-14,2,B2,Transforming cloud service measurements into anonymized extramural business rankings,"A method, system, and computer program product for computing cloud services. A method commences upon invocation of instrumentation configured to monitor a plurality of applications running in a cloud environment. The instruments are configured to capture a first set of metrics and a second set of metrics of respective cloud service tenants. The captured metrics are compared and the comparisons are used to perform a ranking. The rankings of the compared metrics are then used to compare cloud service tenants (e.g., a respective first cloud service tenant is compared with respect to a second cloud service tenant). The ranking is based at least in part on the compared metrics. The rankings can be fairly compared by selecting the first set of metrics with respect to the second set of metrics where both sets of metrics pertain to a common domain, and/or a common application, and/or a common application feature.",10049370
10055423,2018-08-21,61,B2,Infrastructure for synchronization of mobile device with mobile cloud service,"Techniques are described for implementing a cloud computer system (e.g., “a cloud service”) for facilitating the synchronization of enterprise data between mobile computing devices and enterprise computing systems (e.g., human resource management systems, business management systems, or the like). The cloud service may convert enterprise data received from different enterprise computing systems to a format that can be managed and updated easily by mobile computing devices. The converted format may enable distinct information to be easily identified. The enterprise data may be associated with policy information and version information to manage synchronization of the enterprise data. In some embodiments, the cloud service may manage synchronization with mobile computing devices based on classification of a communication connection the mobile computing devices have to a wireless network. The communication connection may be used to determine a manner for synchronizing enterprise data between the mobile computing devices and the cloud computer system.",10055423
10061602,2018-08-28,8,B2,System and method for providing a virtual assembly builder for use with a cloud computing environment,"A system and method for providing a virtual assembly builder for use with a cloud computing environment. In accordance with an embodiment, the system can include a virtual assembly builder component which maintains a repository of virtual assembly archives, wherein each virtual assembly can include a metadata and one or more virtual machine templates that can be used to instantiate an instance of the assembly; and a virtual assembly builder deployer provided as a web service or other interface, which enables operations for uploading virtual assemblies to the repository, registering virtual assemblies with cloud components, and/or managing deployment instances defined by an assembly.",10061602
10063654,2018-08-28,31,B2,Systems and methods for contextual and cross application threat detection and prediction in cloud applications,"Systems and methods for contextual and cross application threat detection in cloud applications in accordance with embodiments of the invention are disclosed. In one embodiment, a method for detecting threat activity in a cloud application using past activity data from cloud applications includes receiving activity data concerning actions performed by a user account associated with a user within a monitored cloud application, receiving external contextual data about the user that does not concern actions performed using the user account within the monitored cloud application, where the external contextual data is retrieved from outside of the monitored cloud application, deriving a baseline user profile using the activity data and external contextual data and associating the baseline user profile with the user account, and determining the likelihood of anomalous activity using the baseline user profile.",10063654
10063661,2018-08-28,56,B2,Multi-tenant cloud-based queuing systems,"Techniques are disclosed for multi-tenant cloud-based queuing. Certain techniques are disclosed herein that provide for interactions and observability between tenant queues within a multi-tenant cloud-based queuing database. In some embodiments, the queues may be utilized by both users and merchants for both online and point-of-service interactions. Multiple queues for multiple tenants are hosted by a cloud computing system. Each queue may include one more queue entries, each of which includes a ticket value, and may further include a ticket alias. The ticket values and/or ticket aliases may be decoupled from a queue position for the entry. In some embodiments, the queue entries may be swapped within a queue or between queues, and the system may enable searching in or automated actions between queues and/or tenants based in part upon queue conditions.",10063661
10070251,2018-09-04,30,B1,"Methods, systems, and computer readable media for validating user equipment (UE) location","A method for validating UE location includes receiving, at a network gateway, a signaling message for updating a location of a UE with a mobile communications network. A first indication of user equipment location is extracted from the signaling message. One of: a cloud-based UE location database containing UE location information obtained from a UE location reporting application resident on the UE, a cloud-based loyalty card transaction database containing loyalty card transaction records indexed by UE identifiers, and a mobile location center (MLC) that obtains UE location information by requesting or receiving the UE location information from a mobility management entity (MME) is queried to obtain a second indication of location of the UE. It is determined from a relationship between the first and second indications of location of the UE that the signaling message is suspicious. In response to determining that the signaling message is suspicious, a policy rule is applied to processing of the signaling message.",10070251
10110506,2018-10-23,22,B2,System and method for quota management in a cloud platform environment,"In accordance with an embodiment, described herein is a system and method for management of quota in a cloud computing environment. In accordance with an embodiment, a tenant manager component enables configuration and management of tenants within the cloud environment, wherein the tenants can utilize services and resources within the cloud environment. The tenant manager enables quotas to be associated with one or more tenants restricting their provisioning or usages of the services and resources. An elasticity manager component determines usage of the cloud environment services and resources by the one or more tenants, and provides usage information to the tenant manager, for use in managing the one or more tenants in accordance with their quotas.",10110506
10122596,2018-11-06,10,B2,System and method for providing a service management engine for use with a cloud computing environment,"A system and method for providing a service management engine for use with a cloud computing environment. In accordance with an embodiment, enterprise software applications (e.g., Fusion Middleware applications) can be instantiated as services within a cloud platform, where they are then made accessible by other (e.g., customer) applications. In an embodiment, a service management engine (SME), in communication with an orchestration engine, can be used to provision services as one or more different service types, according to a service definition package (SDP). Service types can be instantiated according to the configuration of the cloud platform itself, and the contents of the SDP, including discovering, provisioning, and associating service types with system resources, to address different customer requirements.",10122596
